Cement,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAggregate,FineAggregate,Age
212.07,0,121.62,180.31,5.69,1057.6,779.32,28
212.07,0,121.62,180.31,5.69,1057.6,779.32,56
212.07,0,121.62,180.31,5.69,1057.6,779.32,100
229.97,0,118.31,195.47,4.63,1029.4,758.59,3
229.97,0,118.31,195.47,4.63,1029.4,758.59,14
229.97,0,118.31,195.47,4.63,1029.4,758.59,28
229.97,0,118.31,195.47,4.63,1029.4,758.59,56
229.97,0,118.31,195.47,4.63,1029.4,758.59,100
190.34,0,125.18,161.85,9.88,1088.1,802.59,3
190.34,0,125.18,161.85,9.88,1088.1,802.59,14
190.34,0,125.18,161.85,9.88,1088.1,802.59,28
190.34,0,125.18,161.85,9.88,1088.1,802.59,56
190.34,0,125.18,161.85,9.88,1088.1,802.59,100
166.09,0,163.27,176.46,4.49,1058.6,780.09,3
166.09,0,163.27,176.46,4.49,1058.6,780.09,14
166.09,0,163.27,176.46,4.49,1058.6,780.09,28
166.09,0,163.27,176.46,4.49,1058.6,780.09,56
166.09,0,163.27,176.46,4.49,1058.6,780.09,100
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,3
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,14
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,28
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,56
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,100
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,3
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,14
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,28
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,56
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,100
213.76,98.06,24.52,181.74,6.65,1066,785.52,3
213.76,98.06,24.52,181.74,6.65,1066,785.52,14
213.76,98.06,24.52,181.74,6.65,1066,785.52,28
213.76,98.06,24.52,181.74,6.65,1066,785.52,56
213.76,98.06,24.52,181.74,6.65,1066,785.52,100
229.68,0,118.16,195.23,6.13,1028.1,757.63,3
229.68,0,118.16,195.23,6.13,1028.1,757.63,14
229.68,0,118.16,195.23,6.13,1028.1,757.63,28
229.68,0,118.16,195.23,6.13,1028.1,757.63,56
229.68,0,118.16,195.23,6.13,1028.1,757.63,100
238.05,0,94.11,186.66,7,949.91,847.01,3
238.05,0,94.11,186.66,7,949.91,847.01,14
238.05,0,94.11,186.66,7,949.91,847.01,28
238.05,0,94.11,186.66,7,949.91,847.01,56
238.05,0,94.11,186.66,7,949.91,847.01,100
250,0,95.69,187.42,5.53,956.86,861.17,3
250,0,95.69,187.42,5.53,956.86,861.17,14
250,0,95.69,187.42,5.53,956.86,861.17,28
250,0,95.69,187.42,5.53,956.86,861.17,56
250,0,95.69,187.42,5.53,956.86,861.17,100
212.52,0,100.37,159.32,8.71,1007.8,903.59,3
212.52,0,100.37,159.32,8.71,1007.8,903.59,14
212.52,0,100.37,159.32,8.71,1007.8,903.59,28
212.52,0,100.37,159.32,8.71,1007.8,903.59,56
212.52,0,100.37,159.32,8.71,1007.8,903.59,100
212.57,0,100.39,159.35,10.37,1003.8,903.79,3
212.57,0,100.39,159.35,10.37,1003.8,903.79,14
212.57,0,100.39,159.35,10.37,1003.8,903.79,28
212.57,0,100.39,159.35,10.37,1003.8,903.79,56
212.57,0,100.39,159.35,10.37,1003.8,903.79,100
212,0,124.78,159,7.84,1085.4,799.54,3
212,0,124.78,159,7.84,1085.4,799.54,14
212,0,124.78,159,7.84,1085.4,799.54,28
212,0,124.78,159,7.84,1085.4,799.54,56
212,0,124.78,159,7.84,1085.4,799.54,100
231.75,0,121.62,173.96,6.72,1056.4,778.45,3
231.75,0,121.62,173.96,6.72,1056.4,778.45,14
231.75,0,121.62,173.96,6.72,1056.4,778.45,28
231.75,0,121.62,173.96,6.72,1056.4,778.45,56
231.75,0,121.62,173.96,6.72,1056.4,778.45,100
251.37,0,118.27,188.45,5.75,1028.4,757.73,3
251.37,0,118.27,188.45,5.75,1028.4,757.73,14
251.37,0,118.27,188.45,5.75,1028.4,757.73,28
251.37,0,118.27,188.45,5.75,1028.4,757.73,56
251.37,0,118.27,188.45,5.75,1028.4,757.73,100
251.37,0,118.27,188.45,6.35,1028.4,757.73,3
251.37,0,118.27,188.45,6.35,1028.4,757.73,14
251.37,0,118.27,188.45,6.35,1028.4,757.73,28
251.37,0,118.27,188.45,6.35,1028.4,757.73,56
251.37,0,118.27,188.45,6.35,1028.4,757.73,100
181.38,0,167.01,169.59,7.56,1055.6,777.8,3
181.38,0,167.01,169.59,7.56,1055.6,777.8,14
181.38,0,167.01,169.59,7.56,1055.6,777.8,28
181.38,0,167.01,169.59,7.56,1055.6,777.8,56
181.38,0,167.01,169.59,7.56,1055.6,777.8,100
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,3
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,14
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,28
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,56
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,100
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,3
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,14
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,28
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,56
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,100
290.35,0,96.18,168.08,9.41,961.18,865,3
290.35,0,96.18,168.08,9.41,961.18,865,14
290.35,0,96.18,168.08,9.41,961.18,865,28
290.35,0,96.18,168.08,9.41,961.18,865,56
290.35,0,96.18,168.08,9.41,961.18,865,100
277.05,0,97.39,160.6,11.83,973.9,875.61,3
277.05,0,97.39,160.6,11.83,973.9,875.61,14
277.05,0,97.39,160.6,11.83,973.9,875.61,28
277.05,0,97.39,160.6,11.83,973.9,875.61,56
277.05,0,97.39,160.6,11.83,973.9,875.61,100
